Model,CV ROC AUC,Test Accuracy,Test Precision,Test Recall,Test F1,Test ROC AUC,object
Logistic Regression,0.8719 ± 0.0149,0.7727,0.6234,0.8889,0.7328,0.8274,"LogisticRegression(max_iter=1000, random_state=42)"
K-Nearest Neighbors,0.9124 ± 0.0299,0.7468,0.6119,0.7593,0.6777,0.8449,KNeighborsClassifier()
Support Vector Machine,0.9095 ± 0.0170,0.8182,0.7097,0.8148,0.7586,0.9015,"SVC(probability=True, random_state=42)"
Decision Tree,0.8450 ± 0.0432,0.8701,0.7931,0.8519,0.8214,0.8659,DecisionTreeClassifier(random_state=42)
Random Forest,0.9603 ± 0.0153,0.8701,0.8148,0.8148,0.8148,0.9484,RandomForestClassifier(random_state=42)
